value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,label
3.86,3.74,3.64,1.948,0.726,0.726,0.726,0.726,0.726,0.726,0
3.99,3.99,3.87,3.45,0.738,0.775,0.775,0.775,0.775,0.775,0
3.49,3.49,3.49,2.25,0.8,0.8,0.8,0.8,0.8,0.763,0
3.84,3.84,3.72,3.31,0.725,0.725,0.725,0.75,0.788,0.788,0
3.84,3.84,3.68,2.403,0.788,0.788,0.788,0.788,0.788,0.788,0
4.14,4.14,4.14,2.075,0.75,0.75,0.75,0.75,0.75,0.75,0
3.89,3.87,3.8,3.47,0.763,0.763,0.763,0.763,0.763,0.763,0
3.64,3.64,3.64,2.14,0.75,0.75,0.75,0.75,0.75,0.75,0
3.54,3.54,3.54,2.11,0.7,0.7,0.7,0.738,0.738,0.738,0
3.81,3.81,3.66,2.38,0.763,0.763,0.763,0.725,0.725,0.725,0
